Code, Company Name
0002.HK, CLP Holdings Limited
0003.HK, Hong Kong and China Gas Company Limited
0012.HK, Henderson Land Development Company Limited
0017.HK, New World Development Company Limited
0027.HK, Galaxy Entertainment Group Ltd.
0101.HK, Sino Land Company Limited
0241.HK, Alibaba Health Information Technology
0267.HK, CITIC Pacific Ltd
0669.HK, Techtronic Industries
0883.HK, CNOOC Limited
0992.HK, Lenovo
1038.HK, Cheung Kong Infrastructure Holdings Limited
1044.HK, Hengan International Group Co. Ltd
1093.HK, CSPC Pharmaceutical Group Ltd
1109.HK, China Resources Land Limited
1209.HK, China Resources Mixc Lifestyle Srvcs Ltd
1398.HK, Industrial and Commercial Bank of China
1810.HK, Xiaomi
2020.HK, Anta Sports
2269.HK, WuXi Biologics
2319.HK, Mengniu Dairy
2331.HK, Li-Ning
2628.HK, China Life Insurance Ord Shs H
2688.HK, ENN Energy Holdings Ltd
3690.HK, Meituan
6098.HK, Country Garden Services Holdings Co Ltd
6690.HK, Haier Smart Home Co Ltd
9618.HK, JD.com
9633.HK, Nongfu Spring
9988.HK, Alibaba Group